experiment,mode,gamma,phase,phase_iteration,t,objective_estimate,reg_objective_estimate,sample_loss,beta_min,beta_max
adaptive gamma,adaptive,0.0001,3,67,139,1.4797148176524666,65.81413155552424,1.1258272999708048,1.6937835928963484e-05,3.639392937677341e-05
adaptive gamma,adaptive,0.0001,3,68,140,1.4777950725571263,65.81222495265814,1.2268146805642672,1.6937497923768532e-05,3.6821078827980336e-05
adaptive gamma,adaptive,0.0001,3,69,141,1.4757140699709348,65.81015823277293,1.8808793992811792,1.6936614451006604e-05,3.741296210019366e-05
adaptive gamma,adaptive,0.0001,3,70,142,1.4751686392842516,65.80961650800349,1.5632212623108102,1.693554451176087e-05,3.746592059101226e-05
adaptive gamma,adaptive,0.0001,3,71,143,1.4738180808448222,65.8082751752079,1.694336145303342,1.693431607682061e-05,3.77519729724429e-05
adaptive gamma,adaptive,0.0001,3,72,144,1.4729077581259107,65.80737105808127,1.3791045104402497,1.6933392011517674e-05,3.7893913949187976e-05
adaptive gamma,adaptive,0.0001,3,73,145,1.4713001999424462,65.80577461300302,1.791846536481891,1.6932670833201227e-05,3.826613197475351e-05
adaptive gamma,adaptive,0.0001,3,74,146,1.470218566391223,65.80470066765542,1.929604668932037,1.6930356959432105e-05,3.845377661708874e-05
adaptive gamma,adaptive,0.0001,3,75,147,1.4696161490382724,65.8041025544809,1.4532385823033396,1.692871098102554e-05,3.852013493088269e-05
adaptive gamma,adaptive,0.0001,3,76,148,1.4680162365225229,65.80251415215744,1.163477712243209,1.6927598327099077e-05,3.891054060630304e-05
adaptive gamma,adaptive,0.0001,3,77,149,1.465783341391714,65.80029749811176,1.890026636686902,1.6926826127873708e-05,3.959372618092394e-05
adaptive gamma,adaptive,0.0001,3,78,150,1.46514748880935,65.7996663197288,1.2631218149273409,1.6925436938609637e-05,3.966964150621145e-05
adaptive gamma,adaptive,0.0001,3,79,151,1.4631376229990378,65.79767103807384,1.1154636684577313,1.692463453039371e-05,4.023026158810397e-05
adaptive gamma,adaptive,0.0001,3,80,152,1.460877900890289,65.79542843193538,1.307955357333235,1.6924031999125367e-05,4.0918647358874226e-05
adaptive gamma,adaptive,0.0001,3,81,153,1.459098761904117,65.793662872605,1.1610876531895298,1.692336790835777e-05,4.138843214356017e-05
adaptive gamma,adaptive,0.0001,3,82,154,1.456744445335694,65.79132653392993,1.2504561729929733,1.6922507639430026e-05,4.216588384395786e-05
adaptive gamma,adaptive,0.0001,3,83,155,1.454717951634335,65.7893156928263,1.667893392326511,1.692176155168816e-05,4.2772063712306105e-05
adaptive gamma,adaptive,0.0001,3,84,156,1.4535180383205095,65.78812514033875,1.4070817734205192,1.692030664162458e-05,4.3032963672309036e-05
adaptive gamma,adaptive,0.0001,3,85,157,1.4519913288386317,65.78661019115485,1.104973423255545,1.6919700353320648e-05,4.3391775190431694e-05
adaptive gamma,adaptive,0.0001,3,86,158,1.4494154296850157,65.78405486164341,1.3915688305941698,1.691882553841787e-05,4.432273615113663e-05
adaptive gamma,adaptive,0.0001,3,87,159,1.447821961583326,65.78247423242884,1.4694894010899229,1.6918161925519027e-05,4.473938714023509e-05
adaptive gamma,adaptive,0.0001,3,88,160,1.4462349843049656,65.7809001728866,1.2056689286585267,1.6917136901005757e-05,4.5170983739663754e-05
adaptive gamma,adaptive,0.0001,3,89,161,1.444062155470178,65.77874538199045,1.2068631877534721,1.691641197713822e-05,4.588811796540639e-05
adaptive gamma,adaptive,0.0001,3,90,162,1.4422318637021498,65.77693036774507,1.0382590497687492,1.6916061412181423e-05,4.636893786606849e-05
adaptive gamma,adaptive,0.0001,3,91,163,1.439455993277799,65.77417797266371,1.6312348244915982,1.6915281029927428e-05,4.7464329350813174e-05
adaptive gamma,adaptive,0.0001,3,92,164,1.4381863798701222,65.77291921181912,1.5786272813242102,1.6914020571300794e-05,4.7776611410764646e-05
adaptive gamma,adaptive,0.0001,3,93,165,1.4371032334571059,65.77184521978488,1.500447015036062,1.6913427059208518e-05,4.80037743990383e-05
adaptive gamma,adaptive,0.0001,3,94,166,1.4358593933933872,65.77061191678148,1.197619613224359,1.6912897449307777e-05,4.828430099606331e-05
adaptive gamma,adaptive,0.0001,3,95,167,1.4338659459806706,65.76863599865622,1.487417823279716,1.691244607971236e-05,4.888784063026686e-05
adaptive gamma,adaptive,0.0001,3,96,168,1.432450966400224,65.7672334995193,0.9510275697827486,1.6911717964505273e-05,4.925729546344398e-05
adaptive gamma,adaptive,0.0001,3,97,169,1.4296475202245644,65.7644552797662,1.4872233635697467,1.6911227144780518e-05,5.035755335737803e-05
adaptive gamma,adaptive,0.0001,3,98,170,1.4280683237141205,65.76289008353488,2.060046633226111,1.6910238297832776e-05,5.082257007966532e-05
adaptive gamma,adaptive,0.0001,3,99,171,1.4274771500409098,65.76230414969254,1.41680307219947,1.6907425720709068e-05,5.08936307631507e-05
adaptive gamma,adaptive,0.0001,3,100,172,1.4257933028243224,65.76063528250826,1.3350584352837154,1.690664876849093e-05,5.139362390807209e-05
adaptive gamma,adaptive,0.0001,3,101,173,1.4237125336550394,65.75857340203557,1.5482020379578527,1.6905625929479998e-05,5.212277064351701e-05
adaptive gamma,adaptive,0.0001,3,102,174,1.4222028593526903,65.75707766198413,1.5237158135978723,1.690443140946161e-05,5.257080276809743e-05
adaptive gamma,adaptive,0.0001,3,103,175,1.4204424549665697,65.75533365244056,1.8679719786392752,1.690282466235366e-05,5.313774219918285e-05
adaptive gamma,adaptive,0.0001,3,104,176,1.419554763900122,65.75445421764023,1.3105653651176448,1.6900894853980487e-05,5.331557130039549e-05
